~from,~to
59047,123693
4727,46994
85456,896
126444,83509
34209,101104
126326,59592
74681,61998
9843,8125
102561,78821
67439,115869
31163,115869
80150,94996
107219,71802
48502,25357
88254,106774
25923,9992
84986,121968
13377,78048
121152,100370
95593,37789
63725,45775
82309,1222
76515,51064
72215,57950
57887,61020
65742,115034
57393,18796
106623,37963
134144,31172
97431,4609
4703,76305
86252,135900
96227,44315
26572,75923
118749,142997
129225,81392
100069,141337
26506,74244
80301,41152
112035,109396
52886,97635
19368,9189
92584,9540
35097,34614
115513,3126
69615,118791
135993,91012
50906,91012
28814,91012
24099,27551
75307,38721
102369,28285
32663,37872
105525,56227
17863,95598
43371,94560
141616,12185
124853,35801
119218,107037
128655,107037
105683,79453
23162,79453
76512,33416
60311,8209
93740,8209
5733,92338
141652,93150
1457,93150
105705,117324
62015,86348
78174,117980
63942,86340
96477,86340
51463,86340
92010,142848
46241,142848
130078,48119
16239,105148
97574,66732
101597,53455
55550,115051
48396,19035
21040,130940
74648,85450
74659,121463
86594,37805
20269,142948
48303,63797
32247,45474
69347,119783
129844,114808
11273,105014
11781,102886
31603,100960
56169,51705
136055,142890
107265,55209
143931,84232
110136,20751
41133,98951
86594,141622
113277,82658
35641,5913
67060,139355
48393,38394
140619,143882
21305,81398
130494,119740
139311,5332
3916,40209
61340,98174
79057,77768
130911,7484
10485,36107
15823,93633
35018,65945
7124,61669
97603,53075
121656,119113
16627,111916
631,89485
17499,115825
91013,115825
61269,66847
102523,104575
24366,91052
76912,41648
65167,55565
61519,57802
18914,133811
109630,96774
4400,35223
12530,62164
94216,137855
47714,1051
66216,106014
66704,89093
21939,13469
135801,311
46550,46550
132445,13469
78716,47146
4374,2118
37197,73348
27693,72843
107067,17123
7306,25863
58038,64861
61691,14667
55691,55691
51743,43961
84232,43961
115064,94625
121611,99418
124832,102328
118871,60219
94216,113103
7246,96711
23175,96711
135417,102889
95823,120451
83850,120451
110897,118100
22432,102402
22019,25307
21497,37969
82705,60829
121152,70933
93406,140997
138274,81715
124844,102889
77688,143592
60749,27298
87920,46734
87097,92706
54770,19096
57672,83202
52816,105222
91825,71956
128610,14742
85256,42730
46287,103850
98421,33408
8620,12731
105525,47535
89567,48747
48507,98789
77688,14975
26867,79487
89447,83914
4374,77849
8752,77849
48303,18173
94510,117119
4222,112950
18066,112950
33736,85250
75432,25701
20478,20478
20270,142402
67540,50702
92424,42055
42389,52606
80150,121380
142497,30517
63870,30517
30279,30517
135166,141156
16595,136936
44102,137206
5798,28432
28114,28432
77658,67652
123236,23659
132080,58903
77247,135991
53690,135991
53690,21402
54949,60503
142327,21716
75035,21716
21556,62284
16725,50015
7246,61053
60539,61053
49108,61053
2852,10607
30094,10607
31192,134876
4400,84722
2134,124290
30279,135740
125868,64654
78716,10188
130494,80179
69192,51846
133699,97203
124823,84255
104493,111117
103165,111117
78967,130494
69879,43803
7306,134049
47773,134049
18066,18325
33300,140250
27744,39778
61269,93766
141401,93104
133145,76470
143371,143371
33686,64978
78969,142015
71653,124976
123028,58311
35018,93306
36461,28690
112776,115087
12801,133488
46009,17908
27526,96010
9590,141284
61629,86470
104032,70392
6109,70392
19604,48119
46097,48119
120309,14781
31707,80022
2717,58387
39065,58387
116732,132605
84796,114942
64498,112888
122700,112888
95861,8909
15353,3433
31707,124373
72240,122763
18290,80179
50142,4392
91737,139170
81826,111682
19293,91937
63600,6537
116234,58537
97290,139537
83253,16265
12807,48927
91093,11187
71195,88067
69252,88067
72981,15946
113630,117331
36061,127204
46949,50472
35569,78552
50317,135899
11685,47559
107959,108930
113405,62774
92424,62774
102590,42846
87696,42846
49857,29772
79205,57143
102523,11224
47961,47
100937,128147
135279,19470
66837,45073
20805,27171
55966,94179
105525,97303
54520,100671
110893,39242
138816,53299
22006,18576
54457,66945
32247,14947
18401,82937
37953,63363
18015,33663
80188,92475
121491,92475
113947,56485
88246,112979
106398,31874
60667,24941
72240,66923
33862,66923
85688,134946
9278,104233
15295,44784
17535,100835
55446,125235
20059,58419
90224,58419
75307,136195
81236,74864
46790,57240
136351,101606
38503,74948
96548,52388
25071,17754
94090,143603
28560,115957
43371,119521
200,52259
55334,135263
98583,131597
6540,41023
136351,79558
7100,136702
21767,118059
11654,2456
92653,61646
76198,61646
49790,73810
42389,61464
115454,61081
57581,34553
40204,46724
93488,39170
131167,5216
66148,81756
70996,37757
61745,45027
43655,67332
140482,67332
33686,117957
45000,32739
17190,71173
32556,103017
99204,103017
116732,103017
33736,129055
110897,76331
47175,12238
133145,78882
119325,133570
108882,108391
77308,81083
55550,127541
21556,12970
131167,106939
7629,86587
35935,34288
2852,72038
113558,121628
126658,16958
42840,52178
126596,61362
84762,136555
72240,47970
113977,56890
94216,128991
35935,91695
23674,14532
57393,62614
129844,139166
57216,83284
19252,59089
28560,132859
58102,138395
93488,62629
130846,116966
83977,33132
122228,24917
94090,77918
35018,14243
4800,120547
94404,34448
93740,34448
68254,34448
18015,139471
110136,131219
56735,130526
62622,85995
46241,15473
84796,111670
14804,116552
33909,53098
61269,51512
24790,121852
115513,105715
120794,10064
127695,118273
68410,80641
23513,45945
65045,75095
30244,103848
68203,85312
72877,85312
13377,127850
40776,98667
49386,6045
30451,86376
14323,86376
109275,112993
61269,118249
14804,140251
22432,67181
92653,97286
31162,72358
110897,6503
31107,31047
12179,16434
55710,3438
37953,3438
8150,118874
88729,140303
67026,52876
129307,83317
35018,2865
67078,143074
21767,10017
38897,72128
99851,2763
40521,107827
6742,72683
128031,75887
109782,141041
81155,19747
62613,44112
118562,54505
32247,84447
5733,91215
85256,16936
83253,6370
78716,66897
55334,17200
25166,64199
23923,27343
31545,117520
93740,38177
34937,80597
58936,19747
17535,49393
64336,29548
24099,140468
61585,8243
81155,142437
33736,39606
59899,98562
142770,38521
112805,46721
90567,46721
124832,105824
58801,142579
19368,51952
67275,15408
102168,140009
20718,102815
97574,45156
121746,45156
79794,45156
93858,45156
100203,45156
124823,95601
140659,50766
64433,116043
135155,66310
115910,90383
39339,134324
132952,34930
105525,19323
68512,120904
75307,85438
48555,29653
81255,29653
114792,12719
21263,7330
38446,82479
126103,7224
32056,32056
128916,55439
133974,80079
68334,137329
58936,66897
51451,140468
109544,81256
77247,86236
124016,27299
27744,97595
124373,86593
77632,44516
108360,41179
118092,118092
7980,60023
43338,73174
13152,67478
84006,2436
19293,23745
109574,79784
66176,134444
29137,134444
112199,97290
27576,12379
47719,11245
37478,68117
61977,131291
88254,114216
63445,2589
29310,13371
65742,56674
99852,12954
126516,77291
5733,87826
117270,45017
90596,70937
113499,93098
118164,131239
8766,83499
77658,137834
37463,137834
74689,60282
42135,37463
118871,105101
24517,24517
98134,116859
55108,17723
65167,135753
103428,133282
139619,73842
54520,49643
48044,91305
130846,44410
15518,11311
123164,11311
34413,11311
30208,33986
96968,93657
108734,53013
97521,60216
96231,60216
35018,58281
106853,130846
141681,114262
132803,114262
18891,114262
27697,93719
107067,80487
127955,136743
107794,126661
112776,128762
3709,97601
129844,97601
105922,69511
130918,122462
28829,91873
106135,113019
26789,113019
101505,39433
89999,46666
35018,66436
43228,55442
133691,92469
36251,36244
60917,56386
55965,105472
21916,25539
48027,84615
119434,84615
42389,88028
60963,130650
127551,103160
52816,72718
33300,21811
38421,129920
123722,39185
56073,25061
80472,12033
33862,99716
631,135751
48396,108836
98201,50222
121275,86841
82811,73400
116865,53476
5485,47817
117919,99278
14791,47108
124202,7974
89416,142823
69615,85354
43851,48278
13292,78496
110897,27119
77688,80479
65167,78172
55334,103137
138281,103137
53768,103137
142732,119968
120551,96357
105280,32705
29705,12842
114635,111698
125337,60725
133652,20860
119382,49554
103428,21064
142399,17313
4031,17313
79578,30804
117641,39690
60342,66243
133904,92603
101706,58765
7100,110340
33736,110340
116732,85936
70992,108427
18759,103559
138177,134637
115270,100840
64048,117204
98583,13791
105152,77084
75432,77084
45952,30583
96890,103333
5944,119780
4031,87992
91265,75011
1087,103497
33686,125332
92655,60463
20165,123712
96969,135932
107825,5526
67989,34896
36251,52491
87224,94284
137446,84971
106180,53540
75923,71834
33300,111940
64510,17339
57887,53393
138114,82889
65167,55435
3495,75885
117365,90648
48620,90648
84063,77317
55973,45226
89853,67823
8227,47598
51959,67088
84006,17601
98555,95180
93740,84665
116529,131601
121152,109255
38202,65765
37853,58926
14968,135210
29450,107264
115814,62317
97695,62317
56496,70562
112154,51944
60917,136955
20165,143355
25895,134029
38076,101870
107067,20613
126749,67707
34377,131630
49249,99496
29705,27278
80472,31472
4918,76373
65218,40458
102590,35473
90502,35473
2563,133917
121638,12085
5959,97141
77658,8359
46287,83111
98421,29563
47200,104276
31620,38410
36213,126114
50174,45865
27506,134383
84006,38095
129844,47386
92438,98499
27697,3087
72981,122045
84840,55750
107797,58923
105525,73118
109630,50609
129716,53581
5733,63597
33686,131543
58785,53014
76473,53014
31950,125469
84840,56586
131167,51734
53690,50670
129225,32652
70392,21935
99829,1112
98545,143879
130846,115515
86621,60345
50317,79772
31484,79772
99521,79772
51429,119384
130828,40126
88468,58506
32883,137733
63942,119557
21767,100780
135226,114476
99797,98841
133375,79276
11454,56003
7572,40611
123028,110072
17443,17611
49857,143151
69192,22126
102523,76185
7611,2621
33736,8663
19904,127333
94862,127333
115298,42553
7629,51493
112776,16366
70992,985
64972,64972
105922,38976
33862,110698
17443,9562
120129,111533
57393,99664
89728,136229
68693,64756
61629,7382
57216,31014
35018,93112
102590,49226
75035,49226
126029,22029
107261,130899
75927,130899
792,99154
54120,77545
11454,89297
78845,33760
72119,24647
110897,112420
62613,96179
80301,64547
40260,64686
35935,143691
120772,35654
73901,34023
104032,61605
102590,101332
137038,101332
54120,62574
61269,45661
23888,45661
105525,108159
57210,126934
142327,126934
8150,46129
18401,91868
19904,77981
89391,31641
84986,47854
90042,14524
61977,134342
58178,123462
51959,40597
37110,125513
115454,32269
79082,128340
91093,129903
133375,47406
34733,104339
82741,63951
26906,63951
109905,63951
33686,16389
31107,9956
45923,83206
30882,9503
42623,9503
20666,99357
21497,82188
20059,82188
82705,118003
131167,37435
110102,69993
93488,47355
137802,101180
133145,591
111716,108492
112838,107887
11420,57658
59279,79799
131084,79799
136419,15876
123022,82576
80598,108225
79696,24376
78174,98364
46509,64735
76473,50078
115513,119620
64510,142401
87224,114007
17863,125030
63811,125030
48815,125030
112163,25121
73901,63589
64564,99776
20718,21018
4833,12629
107496,70961
64230,47684
35569,11226
49891,94090
38897,8516
98817,2008
53542,118130
79578,143334
12228,44527
100167,32536
56974,78559
121029,113227
77401,80543
78716,38786
7407,3471
100983,63445
72784,142210
13941,11554
138669,63498
98134,34504
115386,141629
28814,66128
36762,99991
73249,128449
82485,104716
89567,109666
16595,126301
110897,129633
90868,100057
98421,18595
69159,132907
17535,132907
84796,132907
114495,42768
92653,5411
200,134995
21456,136578
2425,10764
71207,2249
120452,34209
121568,34209
104032,34209
34056,118225
104032,5740
40521,113934
102138,102963
8946,22871
95422,49501
70040,62726
88254,14833
90722,22593
40521,96081
98689,129119
59102,129119
13377,23377
120794,62208
43371,5733
67439,85634
110897,103414
74648,24812
36086,130857
79972,127747
78954,127747
9589,74573
102523,36163
30244,139061
94520,129328
138114,46395
81826,117600
16227,101546
18290,101546
68512,101546
63380,15811
93406,116014
5361,89302
84063,91935
84762,3185
68203,33625
1424,27774
137973,1333
134242,117143
86807,117143
35704,120290
110897,78931
92129,94876
21263,116389
45291,118391
72240,84560
40521,47017
13377,133658
108644,94782
77156,50269
125167,124237
110897,66241
96331,18751
140489,80587
13756,97624
43851,97624
117660,4451
52816,46113
16345,91175
69411,108743
77247,82973
113558,128962
133599,76377
92434,6708
96676,142759
127855,13589
21767,35518
79578,127647
61269,50981
18878,16330
17443,76068
68781,92010
24336,92010
106853,110089
67438,71264
100942,44109
105023,32536
129023,34209
53878,111853
78845,18751
78970,8800
8926,8800
28626,82595
123722,95518
106279,3796
137667,131478
138114,5362
63942,83774
55550,83774
44013,134619
43041,131136
8002,131136
49790,82108
110759,20740
133522,140064
78521,103583
118411,108377
23114,43278
42840,129310
20165,100996
110116,129481
141616,59854
82409,142518
131415,142518
15811,3992
4735,41993
17995,74118
42405,107275
15144,35514
126000,83011
125298,99661
136828,56460
104834,10829
133974,37847
108644,61867
16008,46133
28114,40133
32556,117552
125298,111003
34056,66052
125968,56045
21767,111358
72119,132517
15518,132517
58042,132517
49036,14701
45291,79304
106483,33083
4222,51580
21263,57734
53768,82650
8227,259
73901,36000
132080,33484
82260,108729
116496,137771
116813,54305
122547,76220
107496,95128
77401,56215
118092,31932
7124,4088
66406,130135
27697,89437
37996,143947
112888,114626
123561,25818
45291,143950
101355,91429
75083,9560
116960,30902
113499,125989
90567,124198
18578,26798
43638,141498
71985,109523
91013,43970
36540,81424
17320,15169
73940,136065
81454,104738
141616,51805
129791,66988
53768,105097
18401,60954
94404,20354
47175,43121
55033,43121
49190,20337
112762,121919
121275,115564
45923,73008
115334,46331
93160,5531
107067,130611
61058,47973
117274,7644
53407,31135
57210,114294
76335,10481
128655,114294
102523,90412
113877,34451
7306,141122
26572,128443
58801,113660
123236,105810
49992,114214
133699,92294
20718,63284
23519,90458
125205,33148
37953,59233
89999,51178
49891,131752
62250,44492
106135,90701
73901,33148
35520,12176
81488,52718
11685,88953
32556,45406
110897,19021
116294,31645
98817,33617
58797,33617
22970,27711
98817,97719
98817,104402
30246,141160
44994,55452
35935,47880
102523,129908
43638,43638
18791,38369
117111,124712
129844,89776
58936,71815
94787,41306
94862,41306
33862,42501
85809,129299
97726,96125
17863,117545
15518,50496
1424,73298
92265,108185
113499,74554
125868,74554
33736,89309
35021,19232
33686,92136
142732,53752
129225,54491
89447,133293
104032,97232
127370,10878
42840,3717
47961,3717
59755,104380
99521,4299
130176,134344
81284,134344
65298,141282
7100,40054
21861,102888
33917,65003
119955,105061
48303,56073
60917,99760
33089,61012
76611,19028
95861,3440
103606,110779
123022,110779
58801,59678
63740,142885
83977,99062
54520,99062
127589,84538
9106,6030
61269,36879
103605,33930
138103,66522
82485,87635
141395,96335
74789,54526
95683,54526
94090,12533
30634,12533
62622,103298
2852,16796
20478,112490
21767,68349
67026,103492
112214,99731
52437,120456
55980,104826
88254,88982
103444,44171
105525,121740
34499,34499
48863,86597
34733,86597
107267,13443
131167,54955
16345,138606
74760,59423
46095,72414
110412,66619
43638,12245
93858,46199
110184,87206
122700,1324
101505,28085
107464,90990
43689,7392
89999,67123
90607,39584
15316,31386
110136,110136
90028,17770
110759,62997
84232,44914
64322,101569
55033,102686
24517,121907
631,121907
105525,126802
70992,78870
116234,50355
92653,95466
126000,128598
24517,116800
80857,62970
64510,47698
88254,42276
76386,96836
123722,31284
109516,3248
123722,114228
49574,86664
11685,87339
43228,51178
131641,14980
140178,50496
52308,14413
23114,54633
7124,74563
107067,125567
6124,123748
78815,108993
47773,12436
17443,123670
33736,86184
19157,94075
51959,67059
38446,65971
82741,58578
15316,58578
126000,20650
137973,20650
7306,112930
142878,9343
110170,22548
102523,67018
67796,17705
113306,134639
19526,84596
49206,114969
90607,119310
56735,131062
126029,897
70486,80044
27196,39168
52291,62798
100080,33720
35290,84261
67985,109406
1424,131221
47961,109359
10485,55137
57432,42456
28507,42456
140319,42456
64413,121676
109782,26980
105525,117499
106623,41582
65778,103133
39545,21565
121416,60596
60098,64875
102523,126629
109850,75552
130494,15344
130104,141639
85456,120155
11384,18925
54206,94304
99588,35486
25071,20451
67253,135636
92189,10404
20666,23051
63445,107058
121029,7323
30244,42782
117919,99719
121750,129154
73861,8736
118092,93865
111618,128633
43971,79377
33736,100135
53170,60227
87813,128633
95861,1585
108468,107936
136376,39145
55980,106079
3450,29298
55550,113791
98134,52190
106420,24584
104834,39898
17190,101480
49206,136310
98791,120896
115761,106227
13836,15452
19759,55823
107067,121308
113277,71208
45088,19468
141782,19468
82369,19468
88254,57650
103428,46440
138998,113938
66216,126297
57503,126297
15518,96896
84986,96896
86807,116283
28098,95992
45911,18510
42432,18510
107067,70538
19368,55970
126000,24628
64433,63165
60539,118570
140178,32021
97308,122821
85256,95926
89215,57750
39065,25853
71653,87780
33862,22178
130347,133677
108572,45534
43410,45534
21047,107433
27126,27162
40428,27162
114792,42432
121416,74154
119688,27795
116272,79561
90028,4045
67275,96372
128391,96372
112615,96372
61269,7451
46241,11896
24790,109929
23519,92326
28814,23630
80472,277
23175,96372
60917,36744
107267,8815
88254,38305
94073,4838
115064,106569
65742,140198
39339,55812
44994,127723
97431,78342
13294,81008
112035,23679
52899,120912
133742,1880
72119,110689
61691,69411
125298,124209
96912,64027
55980,92021
136419,52576
105964,111846
109624,103193
38446,91307
56069,81111
126029,85156
79082,127293
126749,91658
77247,34434
25855,34434
72119,94232
95861,9590
4304,57065
134807,65260
26506,53020
130791,76578
44013,35824
122700,99540
126375,11358
61977,56910
118092,15284
136267,32794
139387,94164
140619,123608
80472,12405
16345,64839
58785,56296
19891,51649
61087,101515
33736,106331
78504,91658
94362,94232
117797,53757
109116,47587
29981,65724
100241,65724
8699,43964
81380,1327
46009,7700
5733,60797
58038,4862
121152,73787
138214,50536
85456,17151
3642,99791
50908,61311
11685,73223
72240,33667
86123,103754
122700,84347
54120,84347
38421,21264
18791,44467
110971,63834
68756,36724
110391,55626
32056,55626
6422,37939
114711,57165
32883,48820
125298,46802
41228,41228
41438,44090
74946,44090
68781,131970
75307,28283
120129,28283
27126,82377
58936,57913
77688,140330
118419,128432
55765,40053
70392,16269
110759,93886
79578,77213
104455,58883
63725,1063
88729,140464
44013,26564
122898,110304
43371,112769
72391,79780
74754,59182
42601,57503
123561,79731
3642,95432
143410,14583
28626,14583
2478,14583
129844,128181
67275,10207
118164,62244
80598,102941
64230,82951
141616,106503
141532,63771
33300,104620
141782,32021
107496,61900
143313,106334
50317,127336
140319,56428
23513,19072
111767,54841
90109,21022
131167,67216
138177,49227
53690,49227
48624,133139
104493,98849
102168,6871
129844,135450
126492,104618
61128,47180
16177,130437
117111,9111
33736,60467
5370,36926
97603,54809
33686,54809
48784,81701
89416,4327
48303,23591
114711,136198
42389,33319
32859,16227
134815,87573
7136,25599
59047,25599
75903,25599
110102,31625
37953,7483
118809,7483
34733,53730
119985,8465
20718,63743
63942,119724
20832,26004
21939,26004
122668,26004
71111,28104
58785,19245
53779,85712
74055,54869
24446,65187
34937,21082
102523,14265
21767,77167
3450,14467
94264,22638
95683,128835
16345,89134
117270,29076
43410,97324
111856,111923
63811,64911
129844,68992
94216,20346
44013,126170
54520,55195
102523,32948
126375,73384
84006,73384
83421,43851
9767,51472
14005,122682
13336,24634
93858,53670
43689,41730
9794,96023
76898,116854
2177,60052
58801,121651
59647,83865
68109,69214
76898,25107
81826,58232
69175,45850
129323,136045
129976,89533
109905,97500
96331,67124
133375,56546
57887,107536
31162,17379
17535,90325
99204,90325
73870,20544
97695,20544
123172,83198
16325,70776
103428,63881
69686,110511
114711,99896
131167,2528
19904,53684
11420,53684
85281,106496
33736,137267
48640,31570
112413,48293
138007,128800
88729,143699
17190,140186
29892,8949
141401,35790
1901,4513
10485,48270
129791,106696
57393,103748
110207,54229
131924,110220
631,110220
999,61309
80906,9029
126000,57657
68254,78817
118411,112275
121152,62274
30094,128206
112201,65540
67026,105051
25855,92503
131084,116913
25166,115357
80472,12082
37853,77650
96912,7950
129115,17829
135155,17829
7124,20959
112762,98646
116960,98646
27549,25310
14005,54229
81705,136122
4800,82994
21939,128206
125298,17034
79578,120647
88254,61273
138177,85210
4374,79085
112888,65142
95807,61383
76386,14155
57972,14155
45540,1751
141652,126771
57310,40616
75307,71073
45539,22706
121152,46118
133375,22691
68203,131724
7306,45690
115386,36602
37478,75412
21939,15528
121275,37083
140319,37083
36251,110619
11685,110619
31432,112505
4515,14057
109574,120291
61585,143400
100022,39386
60917,4878
133691,48826
92438,1255
87224,59610
48620,75338
16345,30479
136828,27891
67540,42726
59610,52839
41400,52839
53407,77928
49026,33917
98181,19617
25605,116249
63467,81919
50173,77123
8752,107411
80472,22708
57887,80256
20666,80774
25166,113403
62496,56453
140178,56453
20805,56453
21305,128152
91093,73313
8150,110222
136419,100492
130828,71986
136419,93884
54209,128155
11685,73090
138886,28540
85256,127419
27004,123161
68088,52307
1838,52307
19076,139284
134049,139950
3332,139950
81978,24504
113783,45000
81236,122073
45923,85643
97603,401
86606,131298
37110,20110
101505,49737
34041,60685
117820,60685
28626,91778
113872,59928
3709,60545
69950,118252
118092,119439
2390,143055
59647,33769
63725,79679
92599,99013
32056,35835
31162,102186
65655,3975
90033,2638
80598,97723
125298,141954
137973,134646
97431,138168
89391,60860
125298,136082
79082,79082
61977,3696
105738,3696
55945,3696
138998,44428
48303,92317
9214,51965
136376,21637
14323,103502
20270,78878
60917,51504
33544,104397
128032,125796
83871,75338
29137,33917
54734,40179
97574,121503
34817,37756
99418,104620
112805,125143
78716,10678
38310,10678
49891,114062
130074,124549
102590,27979
51451,97870
101324,66477
116234,66477
23519,103686
92870,142242
18401,22448
54843,86669
113790,114794
60963,45020
24789,23923
52899,16672
125298,33710
122700,71787
110897,54498
117797,26083
82957,41913
120129,123837
138114,85800
74659,7609
85256,124674
93488,96224
32556,85357
115738,111087
110028,28308
39379,9421
33089,64754
97603,139314
97574,50051
13292,96224
22519,88329
61340,42255
116960,57504
102523,135321
111336,58690
92010,142876
135041,124891
140535,141744
85367,116155
47961,58978
49507,60154
51451,122033
85490,32491
109630,32491
113790,47163
43969,39005
140532,53105
6422,81127
68418,99243
48139,99243
79421,134010
15144,1811
63316,1811
66188,37026
63811,10423
45738,72210
29095,81170
50906,59602
133762,133762
130791,133334
50142,134927
35448,101403
87096,101403
41228,101403
98714,43064
47719,87015
4031,87015
50580,105562
15100,139497
61977,68480
16345,123777
37440,90299
94787,69332
50317,23378
43228,96486
1577,44388
98793,73840
63521,119175
17273,85680
4374,104728
74659,8596
57210,25683
39545,38614
138886,105770
14472,59373
102523,15909
12273,46859
68183,111103
55550,14142
103428,119792
4031,84053
46766,130965
9321,128007
19891,76634
17499,123880
132445,123457
33686,123457
97431,70176
20478,79000
29310,125630
19252,125630
101858,31643
94404,60690
102561,58433
43371,21961
47852,47852
21263,63255
113386,63255
19252,63255
93177,21430
117229,22732
46586,7906
30246,79088
76572,85455
3916,143049
1087,92734
72119,75779
109782,59186
68254,81252
50934,81252
99708,69741
103676,13028
1186,41297
31813,136831
24721,18326
74013,40754
106440,79255
